venus is the _________ planet from the sun.,third,second,fourth,,second
it is named after roman godess of ____ and _______.,love and peace.,care and beauty.,love and beauty.,,love and beauty.
after moon venus is the second _________ object on the dark sky.,brightest,shiniest ,spotted,,brightest
venus is reffered as the earths __________ planet.,mother,brother,sister,,sister
the surface of the planet has the clouds made of _________.,acetic acid,chloric acid,sulphuric acid,,sulphuric acid
what is the diameter of the planet?,<10000,<6000,<13000,,<13000
the orbit period is ________.,225,255,245,,225
surface temperature is about _____.,123C,324C,462C,,462C
venus is as big as which planet?,mercury,earth,jupiter,,earth
how many earth days is equal to a day in venus?,114,117,115,,117
a year on venus is equal to _______ earth days.,223,224,225,,225
a _________ on venus can last longer than a year.,hour,day,month,,day
the atmosperic pressure on venus is ______times greater than earth.,92,95,99,,92
venus is also know as the ____________ and ___________ star.,morning and afternoon,afternoon and evening,morning and evening,,morning and evening
who sent the first mission to venus?,german,russian,persian,,russian